Time,Requests
2,125
3,411
4,1302
5,2093
6,2099
7,2200
8,2726
9,2785
10,3313
11,3472
12,3311
13,3365
14,3528
15,3412
16,2960
17,3446
18,3753
19,3491
20,3506
21,3608
22,3687
23,3515
24,3618
25,3408
26,3306
27,3688
28,3027
29,3682
30,3583
31,3556
32,3600
33,3532
34,3718
35,3861
36,3336
37,3683
38,3902
39,3818
40,3475
41,3488
42,3791
43,3623
44,3512
45,3557
46,3392
47,3474
48,3508
49,3502
50,3396
51,3593
52,3528
53,3246
54,3607
55,2689
56,3210
57,3134
58,3185
59,2980
60,3081
61,3398
62,3236
63,3433
64,3111
65,3247
66,2847
67,2871
68,3418
69,3448
70,3618
71,3574
72,3416
73,3443
74,3163
75,3457
76,2997
77,3500
78,3671
79,3340
80,3463
81,3538
82,3350
83,3456
84,3516
85,3443
86,3256
87,3597
88,3672
89,3728
90,3508
91,3599
92,3666
93,2348
94,662
95,679
96,1153
97,3551
98,3377
99,3596
100,3460
101,3689
102,3545
103,3657
104,3637
105,3282
106,3236
107,3554
108,3542
109,3390
110,3485
111,3590
112,3477
113,3494
114,3525
115,3528
116,3200
117,3276
118,3284
119,3713
120,3617
121,3484
122,3675
123,3449
124,3423
125,3405
126,2806
127,3672
128,3526
129,3337
130,3747
131,3579
132,3561
133,2816
134,3622
135,3741
136,3148
137,3524
138,3566
139,3426
140,3739
141,3443
142,3460
143,3408
144,3480
145,3551
146,3236
147,3554
148,3626
149,3353
150,3604
151,3437
152,2537
153,1933
154,208
